                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.13253,                0.14765,                0.76144,                0.96885,                0.98017,                0.98922,                0.84312,                0.36034,                0.35346,                 1.0248,               0.000948,               0.000948,               0.000948
                     37,                0.12955,                0.14739,                0.76164,                0.97395,                 0.9774,                  0.989,                0.84366,                0.35431,                0.34883,                  1.027,             0.00093385,             0.00093385,             0.00093385
                     38,                0.11893,                0.13801,                0.76104,                0.97379,                0.97406,                0.98938,                0.84175,                0.37772,                0.34934,                 1.0239,              0.0009197,              0.0009197,              0.0009197
                     39,                0.12026,                0.13942,                0.75971,                0.97486,                0.97717,                0.99027,                0.83864,                0.38069,                0.35097,                 1.0387,             0.00090556,             0.00090556,             0.00090556
                     40,                0.12105,                0.13914,                0.75968,                0.97965,                0.96998,                0.99027,                0.84141,                0.36475,                0.34893,                 1.0398,             0.00089141,             0.00089141,             0.00089141
                     41,                0.10792,                0.13021,                 0.7601,                0.97821,                0.97259,                0.98973,                0.84266,                0.35777,                0.35161,                  1.036,             0.00087726,             0.00087726,             0.00087726
                     42,                0.10375,                0.12981,                0.75933,                0.97677,                0.97544,                 0.9903,                0.83938,                0.37489,                0.33636,                 1.0478,             0.00086312,             0.00086312,             0.00086312
                     43,                0.10614,                0.12904,                 0.7556,                0.97626,                0.97263,                  0.989,                0.83577,                0.38457,                0.33355,                 1.0528,             0.00084897,             0.00084897,             0.00084897
                     44,                0.09873,                0.12362,                  0.759,                0.97116,                0.98357,                0.99103,                0.84352,                0.37238,                0.34921,                 1.0497,             0.00083482,             0.00083482,             0.00083482
                     45,                0.11929,                0.13701,                0.76032,                0.97317,                0.97192,                0.98845,                0.83525,                0.39048,                0.32478,                 1.0953,             0.00082067,             0.00082067,             0.00082067
                     46,                0.10567,                 0.1309,                0.76032,                0.97644,                 0.9686,                0.98936,                0.82884,                0.41339,                0.34051,                 1.1095,             0.00080653,             0.00080653,             0.00080653
